School Code,School Name,Address,Pincode,Block Code,District Code
11317,"UTKRAMIT MADHYAMIK SCHOOL CHAMPAWATI, PURNEA",,,1128,11
11318,"UTKRAMIT MADHYAMIK SCHOOL CHANDPUR BHANGHA, PURNEA",,,1128,11
11319,"UTKRAMIT MADHYAMIK SCHOOL HARIMURHI, PURNEA",,,1128,11
11320,"UTKRAMIT MADHYAMIK SCHOOL LAXMIPUR, PURNEA",,,1128,11
11321,"UTKRAMIT MADHYAMIK SCHOOL PRANPATTI, PURNEA",,,1128,11
11322,"UTKRAMIT MADHYAMIK SCHOOL KAJHA, PURNEA",,,1128,11
11323,"UTKRAMIT MADHYAMIK SCHOOL SAURAHA, PURNEA",,,1128,11
11324,"UTKRAMIT MADHYAMIK SCHOOL GARHI BALUWA, PURNEA",,,1128,11
11325,"UTKRAMIT MADHYAMIK SCHOOL BISHANPUR, PURNEA",,,1128,11
11326,"UTKRAMIT MADHYAMIK SCHOOL ROUTI BASHA, PURNEA",,,1128,11
11327,"UTKRAMIT MADHYAMIK SCHOOL TALBARI, PURNEA",,,1128,11
11328,"UTKRAMIT MADHYAMIK SCHOOL SIRSI, PURNEA",,,1128,11
11329,"UTKRAMIT MADHYAMIK SCHOOL AMIRGANJ, PURNEA",,,1128,11
11330,"UTKRAMIT MADHYAMIK SCHOOL KODHELI, PURNEA",,,1128,11
11331,"UTKRAMIT MADHYAMIK SCHOOL BABHNI, PURNEA",,,1128,11
11332,"UTKRAMIT MADHYAMIK SCHOOL BELGCHHI, PURNEA",,,1128,11
11333,"UTKRAMIT MADHYAMIK SCHOOL GORIAR, PURNEA",,,1128,11
11334,"UTKRAMIT MADHYAMIK SCHOOL DUMRI, PURNEA",,,1128,11
11335,"UTKRAMIT MADHYAMIK SCH SANJHA GHAAT,DHAMDAHA, PURNEA",,,1128,11
11336,"UTKRAMIT MADHYAMIK SCHOOL MEERGANJ, DHAMDAHA, PURNEA",,,1128,11
11337,"UTKRAMIT MADHYAMIK SCH G.RAM DAMGARA,DHAMDAHA, PURNEA",,,1128,11
11338,"UTKRAMIT MADHYAMIK SCHOOL LAKHANARE, AMOUR, PURNEA",,,1128,11
11339,"UTKRAMIT MADHYAMIK SCHOOL BELKA, AMOUR, PURNEA",,,1128,11
11340,"UTKRAMIT MADHYAMIK SCH B TOLA ISLAMPUR,AMOUR, PURNEA",,,1128,11
11341,"UTKRAMIT MADHYAMIK SCHOOL MAJGAMA, KASBA, PURNEA",,,1128,11
11342,"UTKRAMIT MADHYAMIK SCHOOL LACHHANPUR, KASBA, PURNEA",,,1128,11
11343,"UTKRAMIT MADHYAMIK SCHOOL MOHANI, KASBA, PURNEA",,,1128,11
11344,"UTKRAMIT MADHYAMIK SCHOOL SONAPUR, BAISI, PURNEA",,,1128,11
11345,"UTKRAMIT MADHYAMIK SCHOOL HARERAMPUR, BAISI, PURNEA",,,1128,11
11346,"UTKRAMIT MADHYAMIK SCHOOL CHARAIYA, BAISI, PURNEA",,,1128,11
11347,"UTKRAMIT MADHYAMIK SCHOOL SHISHAWARI, BAISI, PURNEA",,,1128,11
11348,"UTKRAMIT MADHYAMIK SCHOOL CHANDWAR, BAISI, PURNEA",,,1128,11
11349,"UTKRAMIT MADHYAMIK SCHOOL NANDANIYA, BAISI, PURNEA",,,1128,11
11350,"UTKRAMIT MADHYAMIK SCHOOL DAGARUWA, DAGARUA, PURNEA",,,1128,11
11351,"UTKRAMIT MADHYAMIK SCH C PARA BALUWA,DAGARUA, PURNEA",,,1128,11
11352,"UTKRAMIT MADHYAMIK SCHOOL SIYARAKHAM, DAGARUA, PURNEA",,,1128,11
11353,"UTKRAMIT MADHYAMIK SCH MATIYARPUR,JALALGARDH, PURNEA",,,1128,11
11354,"UTKRAMIT MADHYAMIK SCH KATHAILI, JALALGARDH, PURNEA",,,1128,11
11355,"UTKRAMIT MADHYAMIK SCHOOL EKAMBA, JALALGARDH, PURNEA",,,1128,11
11356,"UTKRAMIT M S PRAKHAND COLONY,K.NAGAR, PURNEA",,,1128,11
11357,"UTKRAMIT M S PRASADPUR BELDARI, K NAGAR, PURNEA",,,1128,11
11358,"UTKRAMIT M S KAJHA GANESHPUR,K NAGAR, PURNEA",,,1128,11
11359,"UTKRAMIT MADHYAMIK SCHOOL PIPARA, PURNEA EAST, PURNEA",,,1128,11
11360,"UTKRAMIT MADHYAMIK SCH MAHARAJPUR,PURNEA EAST, PURNEA",,,1128,11
11361,"UTKRAMIT MADHYAMIK SCHOOL JAGAILI, SRINAGAR, PURNEA",,,1128,11
11362,"UTKRAMIT M S GANGA BHAWAN KHOKHA, SRINAGAR, PURNEA",,,1128,11
11363,"UTKRAMIT MADHYAMIK SCHOOL SUDHUBELI,KASBA, PURNEA",,,1128,11
11364,"UTKRAMIT MADHYAMIK SCH JIYANGANJ GURAHI,KASBA, PURNEA",,,1128,11
11365,"UTKRAMIT M S KAMALPUR BHAMRA LAAGAN, KASBA, PURNEA",,,1128,11
11366,"UTKRAMIT M S SORSONI BIJULIYA, JALALGARDH, PURNEA",,,1128,11
11367,"UTKRAMIT MADHYAMIK SCHOOL MADHWA, BAISI, PURNEA",,,1128,11
11368,"UTKRAMIT MADHYAMIK SCHOOL MAHALWARI, DAGRUA, PURNEA",,,1128,11
11369,"UTKRAMIT MADHYAMIK SCHOOL BELWA, PURNEA EAST, PURNEA",,,1128,11
11370,"UTKRAMIT MADHYAMIK SCHOOL SONDEEP, BHAWNIPUR, PURNEA",,,1128,11
11371,"UTKRAMIT MADHYAMIK SCH GAHIL STHAN, B KOTHI, PURNEA",,,1128,11
11372,"NAUWAT LAL UTKRAMIT M S KUKRAOUN -2, DHAMDAHA, PURNEA",,,1128,11
11373,"UTKRAMIT M S CHIKANI PATRAHA, B KOTHI, PURNEA",,,1128,11
11374,"UTKRAMIT MADHYAMIK SCHOOL GANGAILI, BANMANKHI, PURNEA",,,1128,11
11375,"UTKRAMIT M S JIYANGANJ MIDDLE, BANMANKHI, PURNEA",,,1128,11
11376,"UTKRAMIT MADHYAMIK SCHOOL KAJHI, BANMANKHI, PURNEA",,,1128,11
11377,"UTKRAMIT M S GULABTOLE MALLDIHA, B KOTHI, PURNEA",,,1128,11
11378,"UTKRAMIT MADHYAMIK SCHOOL RANGPURA, DHAMDAHA, PURNEA",,,1128,11
11379,"UTKRAMIT MADHYAMIK SCHOOL BHATSARA, B KOTHI, PURNEA",,,1128,11
11380,"UTKRAMIT MADHYAMIK SCH HARIPURMADI, BANMANKHI, PURNEA",,,1128,11
11381,"UTKRAMIT MADHYAMIK SCHOOL SUKHSENA, B KOTHI, PURNEA",,,1128,11
11382,"ABHYAS UTKRAMIT MADHYAMIK SCH NIRPUR,DHAMDAHA, PURNEA",,,1128,11
11383,"UTKRAMIT MADHYAMIK SCHOOL NIPNIA, B KOTHI, PURNEA",,,1128,11
11384,"UTKRAMIT MADHYAMIK SCHOOL SAHSAUL, B KOTHI, PURNEA",,,1128,11
11385,"UTKRAMIT MADHYAMIK SCHOOL DEVOTTAR, BANMANKHI, PURNEA",,,1128,11
11386,"UTKRAMIT M S HASAILI KHUTTI, SRI NAGAR, PURNEA",,,1128,11
11387,"UTKRAMIT MADHYAMIK SCHOOL BORARHI, BANMANKHI, PURNEA",,,1128,11
11389,"UTKRAMIT MADHYAMIK SCH LALGANJ, PURNEA EAST, PURNEA",,,1128,11
11390,UTKRAMIT M SCH SINDHIA DIWANGANJ PURNEA,,,1128,11
11391,"UTKRAMIT MADHYAMIK SCHOOL AMCHURA, PURNEA",,,1128,11
11392,"UTKRAMIT HIGH SCHOOL, MAHWALA, RUPAULI, PURNEA",,,1128,11
11393,"UTKRAMIT HIGH SCHOOL, BHAWA KANP, RUPAULI, PURNEA",,,1128,11
11394,"UTKRAMIT HIGH SCHOOL, CHHARRAPATTI, RUPAULI, PURNEA",,,1128,11
11395,"UTKRAMIT HIGH SCHOOL, TINTANGA, RUPAULI, PURNEA",,,1128,11
11396,"UTKRAMIT HIGH SCHOOL, BALUTOL, B.KOTHI, PURNEA",,,1128,11
11397,"UTKRAMIT HIGH SCHOOL, HANUMAN NAGAR -K, B.KOTHI, PURNEA",,,1128,11
11398,UTKRAMIT HIGH SCHOOL MIRCHAIBARI PURNEA,,,1128,11
11399,"UTKRAMIT HIGH SCHOOL, RADHANAGAR, BANMANKHI, PURNEA",,,1128,11
11400,"UTKRAMIT HIGH SCHOOL, RAGHUNATHPUR, BANMANKHI, PURNEA",,,1128,11
11401,"UTKRAMIT HIGH SCHOOL, BEGAMPUR KHATA, K.NAGAR, PURNEA",,,1128,11
11402,"UTKRAMIT HIGH SCHOOL, DUMRA, BHAWANIPUR, PURNEA",,,1128,11
11403,"UTKRAMIT HIGH SCHOOL, SONDIHA LATHI, BHAWANIPUR, PURNEA",,,1128,11
11404,"UTKRAMIT HIGH SCHOOL, DURGAPUR, BHAWANIPUR, PURNEA",,,1128,11
11405,"UTKRAMIT HIGH SCHOOL, MADARPUR, PURNEA EAST, PURNEA",,,1128,11
11406,"UTKRAMIT HIGH SCHOOL, MAJHUA, PURNEA EAST, PURNEA",,,1128,11
11407,"UTKRAMIT HIGH SCHOOL, LASANPUR, DAGRUA, PURNEA",,,1128,11
11408,"UTKRAMIT HIGH SCHOOL, LALOGARH, BANMANKHI, PURNEA",,,1128,11
11409,"UTKRAMIT HIGH SCHOOL, GANGAILI, AMOUR, PURNEA",,,1128,11
11410,"UTKRAMIT HIGH SCHOOL, PARASMANI, DHAMDAHA, PURNEA",,,1128,11
11411,"UTKRAMIT HIGH SCHOOL, BAKHRIKOL, K. NAGAR, PURNEA",,,1128,11
11412,"UTKRAMIT HIGH SCHOOL, CHAPAY GANGELI, K. NAGAR, PURENA, PURNEA",,,1128,11
11413,"UTKRAMIT HIGH SCHOOL, RAHUA WEST, K. NAGAR, PURNEA",,,1128,11
11414,"UTKRAMIT HIGH SCHOOL, BARAHKONA, DHAMDAHA, PURNEA",,,1128,11
11415,"UTKRAMIT HIGH SCHOOL, ALINAGAR I.K. NAGAR, PURNEA",,,1128,11
11416,"UTKRAMIT HIGH SCHOOL, DHARHAR YAMUNIYAN, DHAMDAHA, PURNEA",,,1128,11
11417,"UTKRAMIT HIGH SCHOOL, SIMRA, RUPAULI, PURNEA",,,1128,11
11418,"UTKRAMIT HIGH SCHOOL, SHRIPUR, BHAWANIPUR, PURNEA",,,1128,11
11419,"UTKRAMIT HIGH SCHOOL, SHAIKHPURA, BHAWANIPUR, PURNEA",,,1128,11
11420,"UTKRAMIT HIGH SCHOOL, BARDELA, DHAMDAHA, PURNEA",,,1128,11
11421,"UTKRAMIT HIGH SCHOOL, KUKRAUN MAKTAB, DHAMDAHA, PURNEA",,,1128,11
11422,"UTKRAMIT HIGH SCHOOL, BARIYA, BYASI, PURNEA",,,1128,11
11423,"UTKRAMIT HIGH SCHOOL, CHANDRAHI, DHAMDAHA, PURNEA",,,1128,11
11424,"UTKRAMIT H.S BAGHWA KANYA, DHAMDAHA, PURNEA",,,1128,11
11425,"UTKARMIT UCHCH  VIDYALAYA (SCHEDULED CASTE), DAMAILI, PURNEA",,,1128,11
11426,"UTKARMIT UCHCH  VIDYALAYA, DHAUKARDHARA, PURNEA",,,1128,11
11427,"UTKARMIT MADHYAMIK UCHCH  VIDYALAYA, MALHARIYA",,,1128,11
11428,"U M S, SHINDHIYA, DAGARUA, PURNEA",,,1128,11
11429,"UTKRAMIT UCHCH VIDYALAYA, BELA CHAND SUKHIYA, BANMANKHI, PURNEA",,,1128,11
11430,"UPGRADED SECONDARY SCHOOL, SINGHIA, SRINAGAR, PURNEA",,,1128,11
11431,"GEETA SHIVRAJ U H/S, MALI, DHAMDAHA, PURANEA",,,1128,11
11432,"UTKRAMIT UCHCH VIDYALAYA, GADHIYA VISHNUPUR, SRI NAGAR, PURANEA",,,1128,11
11433,"U M V, JEEWACHHPUR, BANMANKHI, PURNEA",,,1128,11
11434,"U M V, RAHRIYA KHUTTI, SRINAGAR, PURNEA",,,1128,11
11435,"U H/S SAUTHA, JALALGADH, PURNEA",,,1128,11
11436,"UTKRAMIT UCHCH MADHYAMIK VIDYALAYA, GADDI GHAT KANYA, RUPAULI, PURNEA",,,1128,11
11437,"U M V, CHAK, JALALGARH, PURNEA",,,1128,11
11438,"U M V, SAHURIYA, PURNEA",,,1128,11
11439,"U M V, PARTIYA, PURNEA",,,1128,11
11501,HIGH SCHOOL SARWAILY AMOUR PURNEA,,,1128,11
11502,"SHIV SAHAYA SAGARMAL GIRL'S H S BIROULI, PURNEA",,,1128,11
11503,JOKHAN HIGH SCHOOL BELTARI PURNEA,,,1128,11
11504,KAMAKHYA HIGH SCHOOL KAMAKHYASTHAN PURNEA,,,1128,11
11505,HIGH SCHOOL BAHDURA PURNEA,,,1128,11
11506,KHALIKUL NISHA SAJJAD MILLAR H/S PURNEA,,,1128,11
11507,KANYA UCHCHA VIDYALAYA BHATTA PURNEA,,,1128,11
11508,HIGH SCHOOL DIBRA BAZAR PURNEA,,,1128,11
11509,MUNGA LAL HIGH SCHOOL ORLAHA PURNEA,,,1128,11
11510,D C HIGH SCHOOL BARDELA PURNEA,,,1128,11
11511,HIGH SCHOOL BARAIDGAH PURNEA,,,1128,11
11512,HIGH SCHOOL CHAKMAKA PURNEA,,,1128,11
11701,ST.PETER'S HIGH SCHOOL PURNEA,,,1128,11
11703,"BHOLANATH RAJ VIDYANAND H S B NAGAR SHAHKOL, PURNEA",,,1128,11
11704,MOHAN LAL BAJAJ GIRLS H S GULABBAGH PURNEA,,,1128,11
12001,"L S HIGH SCHOOL PALASI PATEGNA, ARARIA",,,1112,12
12002,"S HIGH SCHOOL BELSARA, ARARIA",,,1112,12
12003,"HIGH SCHOOL KALIAGANJ, ARARIA",,,1112,12
12004,"PROJECT HIGH SCHOOL SIKTY, ARARIA",,,1112,12
12005,"L B S S HIGH SCHOOL PALASI, ARARIA",,,1112,12
12006,"PROJECT GIRLS HIGH SCHOOL KALIAGANJ, ARARIA",,,1112,12
12007,"R A HIGH SCHOOL HANSA KAMALPUR, ARARIA",,,1112,12
12008,"M M PROJECT GIRLS H/S PAHUNSI, ARARIA",,,1112,12
12009,"V N HIGH SCHOOL BHOJPUR, ARARIA",,,1112,12
12010,"PROJECT GIRLS HIGH SCHOOL BARDAHA, ARARIA",,,1112,12
12011,"ZAKIR ACADEMY DEHTI, ARARIA",,,1112,12
12012,S S GIRLS HIGH SCHOOL ARARIA,,,1112,12
12013,"H S URLAHA, ARARIA",,,1112,12
12014,"B L D HIGH SCHOOL RANIGANJ, ARARIA",,,1112,12
12015,AZAD ACADEMY ARARIA,,,1112,12
12016,"HIGH SCHOOL KUARI, ARARIA",,,1112,12
12017,"M G S HIGH SCHOOL ARARIA R S, ARARIA",,,1112,12
12018,"P N HIGH SCHOOL SOHANDARHAT, ARARIA",,,1112,12
12019,"UMA NATH ROY HIGH SCHOOL UDAHAT, ARARIA",,,1112,12
12020,"HIGH SCHOOL MALHARAIA, ARARIA",,,1112,12
12021,"HIGH SCHOOL BARDAHA, ARARIA",,,1112,12
12022,"LALJEE HIGH SCHOOL RANIGANJ, ARARIA",,,1112,12
12023,"HIGH SCHOOL JOKIHAT, ARARIA",,,1112,12
12024,"MOTI HIGH SCHOOL MADANPUR, ARARIA",,,1112,12
12025,"KALAWATI GIRLS HIGH SCHOOL RANIGANJ, ARARIA",,,1112,12
12026,"HIGH SCHOOL KURSAKANTA, ARARIA",,,1112,12
