District Name,School Code,School Name
PURNEA,11318,"UTKRAMIT MADHYAMIK SCHOOL CHANDPUR BHANGHA, PURNEA"
PURNEA,11319,"UTKRAMIT MADHYAMIK SCHOOL HARIMURHI, PURNEA"
PURNEA,11320,"UTKRAMIT MADHYAMIK SCHOOL LAXMIPUR, PURNEA"
PURNEA,11321,"UTKRAMIT MADHYAMIK SCHOOL PRANPATTI, PURNEA"
PURNEA,11322,"UTKRAMIT MADHYAMIK SCHOOL KAJHA, PURNEA"
PURNEA,11323,"UTKRAMIT MADHYAMIK SCHOOL SAURAHA, PURNEA"
PURNEA,11324,"UTKRAMIT MADHYAMIK SCHOOL GARHI BALUWA, PURNEA"
PURNEA,11325,"UTKRAMIT MADHYAMIK SCHOOL BISHANPUR, PURNEA"
PURNEA,11326,"UTKRAMIT MADHYAMIK SCHOOL ROUTI BASHA, PURNEA"
PURNEA,11327,"UTKRAMIT MADHYAMIK SCHOOL TALBARI, PURNEA"
PURNEA,11328,"UTKRAMIT MADHYAMIK SCHOOL SIRSI, PURNEA"
PURNEA,11329,"UTKRAMIT MADHYAMIK SCHOOL AMIRGANJ, PURNEA"
PURNEA,11330,"UTKRAMIT MADHYAMIK SCHOOL KODHELI, PURNEA"
PURNEA,11331,"UTKRAMIT MADHYAMIK SCHOOL BABHNI, PURNEA"
PURNEA,11332,"UTKRAMIT MADHYAMIK SCHOOL BELGCHHI, PURNEA"
PURNEA,11333,"UTKRAMIT MADHYAMIK SCHOOL GORIAR, PURNEA"
PURNEA,11334,"UTKRAMIT MADHYAMIK SCHOOL DUMRI, PURNEA"
PURNEA,11335,"UTKRAMIT MADHYAMIK SCH SANJHA GHAAT,DHAMDAHA, PURNEA"
PURNEA,11336,"UTKRAMIT MADHYAMIK SCHOOL MEERGANJ, DHAMDAHA, PURNEA"
PURNEA,11337,"UTKRAMIT MADHYAMIK SCH G.RAM DAMGARA,DHAMDAHA, PURNEA"
PURNEA,11338,"UTKRAMIT MADHYAMIK SCHOOL LAKHANARE, AMOUR, PURNEA"
PURNEA,11339,"UTKRAMIT MADHYAMIK SCHOOL BELKA, AMOUR, PURNEA"
PURNEA,11340,"UTKRAMIT MADHYAMIK SCH B TOLA ISLAMPUR,AMOUR, PURNEA"
PURNEA,11341,"UTKRAMIT MADHYAMIK SCHOOL MAJGAMA, KASBA, PURNEA"
PURNEA,11342,"UTKRAMIT MADHYAMIK SCHOOL LACHHANPUR, KASBA, PURNEA"
PURNEA,11343,"UTKRAMIT MADHYAMIK SCHOOL MOHANI, KASBA, PURNEA"
PURNEA,11344,"UTKRAMIT MADHYAMIK SCHOOL SONAPUR, BAISI, PURNEA"
PURNEA,11345,"UTKRAMIT MADHYAMIK SCHOOL HARERAMPUR, BAISI, PURNEA"
PURNEA,11346,"UTKRAMIT MADHYAMIK SCHOOL CHARAIYA, BAISI, PURNEA"
PURNEA,11347,"UTKRAMIT MADHYAMIK SCHOOL SHISHAWARI, BAISI, PURNEA"
PURNEA,11348,"UTKRAMIT MADHYAMIK SCHOOL CHANDWAR, BAISI, PURNEA"
PURNEA,11349,"UTKRAMIT MADHYAMIK SCHOOL NANDANIYA, BAISI, PURNEA"
PURNEA,11350,"UTKRAMIT MADHYAMIK SCHOOL DAGARUWA, DAGARUA, PURNEA"
PURNEA,11351,"UTKRAMIT MADHYAMIK SCH C PARA BALUWA,DAGARUA, PURNEA"
PURNEA,11352,"UTKRAMIT MADHYAMIK SCHOOL SIYARAKHAM, DAGARUA, PURNEA"
PURNEA,11353,"UTKRAMIT MADHYAMIK SCH MATIYARPUR,JALALGARDH, PURNEA"
PURNEA,11354,"UTKRAMIT MADHYAMIK SCH KATHAILI, JALALGARDH, PURNEA"
PURNEA,11355,"UTKRAMIT MADHYAMIK SCHOOL EKAMBA, JALALGARDH, PURNEA"
PURNEA,11356,"UTKRAMIT M S PRAKHAND COLONY,K.NAGAR, PURNEA"
PURNEA,11357,"UTKRAMIT M S PRASADPUR BELDARI, K NAGAR, PURNEA"
PURNEA,11358,"UTKRAMIT M S KAJHA GANESHPUR,K NAGAR, PURNEA"
PURNEA,11359,"UTKRAMIT MADHYAMIK SCHOOL PIPARA, PURNEA EAST, PURNEA"
PURNEA,11360,"UTKRAMIT MADHYAMIK SCH MAHARAJPUR,PURNEA EAST, PURNEA"
PURNEA,11361,"UTKRAMIT MADHYAMIK SCHOOL JAGAILI, SRINAGAR, PURNEA"
