S. No.,School Code,School Name,Address,Pincode,Block ID,District ID,District Name,Block Name
60,11060,"SUMRIT HIGH SCHOOL BANMANKHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
61,11061,"H S DHODHAIPIPARA, PURNEA",,,1128,11,PURNEA,BANMANKHI
62,11062,"THAKUR H S KHUNT, PURNEA",,,1128,11,PURNEA,BANMANKHI
63,11063,"GOVT S T H S BANMANKHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
64,11064,"GOVT AMBEDKAR H S JANKINAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
65,11065,"LILJU HIGH SCHOOL BURHIA, PURNEA",,,1128,11,PURNEA,BANMANKHI
66,11066,"S A L M C HIGH SCHOOL BANMANKHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
67,11301,"UTKRAMIT M S MACHHATTA, PURNEA",,,1128,11,PURNEA,BANMANKHI
68,11302,"UTKRAMIT M S MALOPARA BAISI, PURNEA",,,1128,11,PURNEA,BANMANKHI
69,11303,"UTKRAMIT M S JANKINAGAR HAAT BANMANKHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
70,11304,"ADARSH UTKRAMIT M S PARORA K NAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
71,11305,"ADARSH UTKRAMIT M S VISHNUPUR DHAMDAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
72,11306,"UTKRAMIT M S KASBA SANJHAULI KASBA, PURNEA",,,1128,11,PURNEA,BANMANKHI
73,11307,"UTKRAMIT M S LALGANJ VIJAY LALGANJ RUPAULI, PURNEA",,,1128,11,PURNEA,BANMANKHI
74,11308,"UTKRAMIT M S BRAHMGANI SUPAULI BHAWANIPUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
75,11309,"UTKRAMIT M S AATA MABAIYA BAISI, PURNEA",,,1128,11,PURNEA,BANMANKHI
76,11310,"UTKRAMIT M S MAHAMMADPUR HARKAIHLI DAGARUA, PURNEA",,,1128,11,PURNEA,BANMANKHI
77,11311,"UTKRAMIT M S BAIRIYA GAURIYAR RUPAULI, PURNEA",,,1128,11,PURNEA,BANMANKHI
78,11313,"UTKRAMIT M S GAUASI K NAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
79,11314,"UTKRAMIT M S MARANGA WEST PURNEA EAST, PURNEA",,,1128,11,PURNEA,BANMANKHI
80,11315,"UPGRADED M S BAGDAR DHURPALLI AMAUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
81,11316,"UTKRAMIT M S RAMPUR TILAK, PURNEA",,,1128,11,PURNEA,BANMANKHI
