School Code,School Name,District Name,Block Name
11306,"UTKRAMIT M S KASBA SANJHAULI KASBA, PURNEA",PURNEA,BANMANKHI
11307,"UTKRAMIT M S LALGANJ VIJAY LALGANJ RUPAULI, PURNEA",PURNEA,BANMANKHI
11308,"UTKRAMIT M S BRAHMGANI SUPAULI BHAWANIPUR, PURNEA",PURNEA,BANMANKHI
11309,"UTKRAMIT M S AATA MABAIYA BAISI, PURNEA",PURNEA,BANMANKHI
11310,"UTKRAMIT M S MAHAMMADPUR HARKAIHLI DAGARUA, PURNEA",PURNEA,BANMANKHI
11311,"UTKRAMIT M S BAIRIYA GAURIYAR RUPAULI, PURNEA",PURNEA,BANMANKHI
11313,"UTKRAMIT M S GAUASI K NAGAR, PURNEA",PURNEA,BANMANKHI
11314,"UTKRAMIT M S MARANGA WEST PURNEA EAST, PURNEA",PURNEA,BANMANKHI
11315,"UPGRADED M S BAGDAR DHURPALLI AMAUR, PURNEA",PURNEA,BANMANKHI
11316,"UTKRAMIT M S RAMPUR TILAK, PURNEA",PURNEA,BANMANKHI
11317,"UTKRAMIT MADHYAMIK SCHOOL CHAMPAWATI, PURNEA",PURNEA,BANMANKHI
11318,"UTKRAMIT MADHYAMIK SCHOOL CHANDPUR BHANGHA, PURNEA",PURNEA,BANMANKHI
11319,"UTKRAMIT MADHYAMIK SCHOOL HARIMURHI, PURNEA",PURNEA,BANMANKHI
11320,"UTKRAMIT MADHYAMIK SCHOOL LAXMIPUR, PURNEA",PURNEA,BANMANKHI
11321,"UTKRAMIT MADHYAMIK SCHOOL PRANPATTI, PURNEA",PURNEA,BANMANKHI
11322,"UTKRAMIT MADHYAMIK SCHOOL KAJHA, PURNEA",PURNEA,BANMANKHI
11323,"UTKRAMIT MADHYAMIK SCHOOL SAURAHA, PURNEA",PURNEA,BANMANKHI
11324,"UTKRAMIT MADHYAMIK SCHOOL GARHI BALUWA, PURNEA",PURNEA,BANMANKHI
11325,"UTKRAMIT MADHYAMIK SCHOOL BISHANPUR, PURNEA",PURNEA,BANMANKHI
11326,"UTKRAMIT MADHYAMIK SCHOOL ROUTI BASHA, PURNEA",PURNEA,BANMANKHI
11327,"UTKRAMIT MADHYAMIK SCHOOL TALBARI, PURNEA",PURNEA,BANMANKHI
11328,"UTKRAMIT MADHYAMIK SCHOOL SIRSI, PURNEA",PURNEA,BANMANKHI
11329,"UTKRAMIT MADHYAMIK SCHOOL AMIRGANJ, PURNEA",PURNEA,BANMANKHI
11330,"UTKRAMIT MADHYAMIK SCHOOL KODHELI, PURNEA",PURNEA,BANMANKHI
11331,"UTKRAMIT MADHYAMIK SCHOOL BABHNI, PURNEA",PURNEA,BANMANKHI
11332,"UTKRAMIT MADHYAMIK SCHOOL BELGCHHI, PURNEA",PURNEA,BANMANKHI
11333,"UTKRAMIT MADHYAMIK SCHOOL GORIAR, PURNEA",PURNEA,BANMANKHI
11334,"UTKRAMIT MADHYAMIK SCHOOL DUMRI, PURNEA",PURNEA,BANMANKHI
11335,"UTKRAMIT MADHYAMIK SCH SANJHA GHAAT,DHAMDAHA, PURNEA",PURNEA,BANMANKHI
11336,"UTKRAMIT MADHYAMIK SCHOOL MEERGANJ, DHAMDAHA, PURNEA",PURNEA,BANMANKHI
11337,"UTKRAMIT MADHYAMIK SCH G.RAM DAMGARA,DHAMDAHA, PURNEA",PURNEA,BANMANKHI
11338,"UTKRAMIT MADHYAMIK SCHOOL LAKHANARE, AMOUR, PURNEA",PURNEA,BANMANKHI
11339,"UTKRAMIT MADHYAMIK SCHOOL BELKA, AMOUR, PURNEA",PURNEA,BANMANKHI
